customerid,gender,age,city,membershiptype,totalspend,itemspurchased,averagerating,discountapplied,dayssincelastpurchase,satisfactionlevel,invoiceno,stockcode,description,quantity,invoicedate,unitprice,country,purchasedate,productcategory,productprice,totalpurchaseamount,paymentmethod,customerage,returns,customername,churn,tenure,preferredlogindevice,citytier,warehousetohome,preferredpaymentmode,hourspendonapp,numberofdeviceregistered,preferedordercat,satisfactionscore,maritalstatus,numberofaddress,complain,orderamounthikefromlastyear,couponused,ordercount,daysincelastorder,cashbackamount,orderid,pricemrp,payment,timestamp,rating,productid,paymenttype,orderstatus,productweightg,productlengthcm,productheightcm,productwidthcm,customercity,customerstate,sellerid,sellercity,sellerstate,paymentinstallments,rowid,orderdate,shipdate,shipmode,segment,countryregion,stateprovince,postalcode,region,category,subcategory,productname,sales,discount,profit
101.0,Female,29.0,New York,Gold,1120.2,14.0,4.6,True,25.0,Satisfied,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,United Kingdom,5/3/2023 21:30,Home,177.0,2427.0,PayPal,31.0,1.0,John Rivera,0.0,4.0,Mobile Phone,3.0,6.0,Debit Card,3.0,3.0,Laptop & Accessory,2.0,Single,9.0,1.0,11.0,1.0,1.0,5.0,159.93,9045fa841de3514ce900f5fc869d9b1f,1074.38,1095.65,21-11-2017 22:34,5.0,0a37e05528984f47c754837344732fbb,credit_card,delivered,800.0,40.0,20.0,30.0,osasco,SP,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,5.0,1.0,1/3/2020,1/7/2020,Standard Class,Consumer,United States,Texas,77095,Central,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,0.2,5.5512
104.0,Male,30.0,San Francisco,Gold,1480.3,19.0,4.7,False,12.0,Satisfied,536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:26,3.39,United Kingdom,1/17/2023 13:14,Electronics,396.0,937.0,Cash,31.0,0.0,John Rivera,0.0,0.0,Phone,3.0,15.0,Debit Card,2.0,4.0,Laptop & Accessory,5.0,Single,8.0,0.0,23.0,0.0,1.0,3.0,134.07,c0e02613bf15378f18d3498361a76c9d,555.0,585.95,1/6/2018 22:22,4.0,b60a0c8bd0333c69ee70565973709bbf,boleto,delivered,650.0,16.0,10.0,11.0,porto velho,RO,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,1.0,4.0,1/4/2020,1/8/2020,Standard Class,Home Office,United States,Illinois,60540,Central,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,0.2,-64.7748
106.0,Female,37.0,Houston,Bronze,440.8,8.0,3.1,False,22.0,Neutral,536365,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 8:26,7.65,United Kingdom,8/25/2022 6:48,Home,191.0,3722.0,Credit Card,27.0,1.0,Lauren Johnson,0.0,0.0,Computer,1.0,22.0,Debit Card,3.0,5.0,Mobile Phone,5.0,Single,2.0,1.0,22.0,4.0,6.0,7.0,139.19,d1ff908b4e21d4fffd5da1a0c84c3404,207.9,238.61,4/8/2018 21:57,5.0,08462528607b71ea62cbc019d91b001e,credit_card,delivered,650.0,16.0,10.0,11.0,sao goncalo do amarante,RN,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,8.0,6.0,1/6/2020,1/10/2020,Standard Class,Home Office,United States,Kentucky,42420,South,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,0.0,746.4078
112.0,Female,36.0,Houston,Bronze,470.5,7.0,3.2,False,20.0,Neutral,536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 8:34,2.1,United Kingdom,1/5/2023 11:15,Home,304.0,3883.0,PayPal,27.0,1.0,Carol Allen,0.0,11.0,Mobile Phone,1.0,6.0,Debit Card,3.0,4.0,Fashion,3.0,Single,10.0,1.0,13.0,0.0,1.0,0.0,153.81,e21a007c09bc0fffafa1ab3ca7a65a26,1597.35,1629.33,18-07-2017 14:26,5.0,76951acb34204078c0dc377dfc4233aa,credit_card,delivered,650.0,40.0,20.0,30.0,salvador,BA,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,1.0,12.0,1/6/2020,1/8/2020,Second Class,Consumer,United States,California,90049,West,Office Supplies,Paper,Xerox 225,19.44,0.0,9.3312
113.0,Female,30.0,New York,Gold,1200.8,16.0,4.3,True,21.0,Satisfied,536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 8:34,3.75,United Kingdom,7/18/2023 23:36,Books,54.0,4187.0,PayPal,27.0,0.0,Carol Allen,0.0,0.0,Phone,1.0,11.0,COD,2.0,3.0,Mobile,3.0,Single,2.0,1.0,13.0,2.0,2.0,2.0,134.41,09744659d8e64274cf91bb288d9c3aec,364.0,428.8,16-07-2018 12:41,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,belo jardim,PE,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,3.0,13.0,1/6/2020,1/10/2020,Standard Class,Home Office,United States,Kentucky,42420,South,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,0.0,204.1092
114.0,Male,33.0,Los Angeles,Silver,820.75,13.0,4.4,False,15.0,Satisfied,536367,22310,IVORY KNITTED MUG COSY ,6,12/1/2010 8:34,1.65,United Kingdom,12/20/2021 23:44,Electronics,428.0,2289.0,Cash,27.0,0.0,Carol Allen,0.0,0.0,Phone,1.0,15.0,CC,3.0,4.0,Mobile,3.0,Divorced,1.0,1.0,17.0,0.0,1.0,0.0,133.88,0713f1dd3cdb0f62e71d9a1f01c2bc0b,349.9,365.37,1/8/2017 7:31,5.0,6cdd53843498f92890544667809f1595,boleto,delivered,900.0,25.0,12.0,38.0,cascavel,PR,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,1.0,14.0,1/6/2020,1/10/2020,Standard Class,Home Office,United States,Kentucky,42420,South,Technology,Phones,GE 30524EE4,391.98,0.0,113.6742
115.0,Female,42.0,Chicago,Bronze,530.4,9.0,3.5,True,38.0,Unsatisfied,536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 8:34,4.25,United Kingdom,3/7/2020 21:31,Books,281.0,3810.0,Cash,27.0,0.0,Carol Allen,0.0,9.0,Mobile Phone,3.0,15.0,Credit Card,3.0,4.0,Fashion,2.0,Single,2.0,0.0,16.0,0.0,4.0,7.0,196.19,f810273bc84ceae52faa5a78522cd46d,349.9,381.88,22-02-2018 17:06,4.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,recife,PE,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,6.0,15.0,1/7/2020,1/12/2020,Standard Class,Consumer,United States,Texas,77340,Central,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,0.6,-53.7096
118.0,Female,38.0,Houston,Bronze,450.9,8.0,3.0,False,25.0,Neutral,536367,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 8:34,5.95,United Kingdom,10/18/2020 23:38,Books,127.0,3347.0,Cash,20.0,0.0,Curtis Smith,0.0,0.0,Mobile Phone,3.0,11.0,E wallet,2.0,4.0,Laptop & Accessory,3.0,Single,2.0,1.0,11.0,1.0,1.0,3.0,157.44,91a31ae0b2ceeff70549db4b68d0a11e,349.9,378.89,8/6/2017 17:50,5.0,6cdd53843498f92890544667809f1595,boleto,delivered,900.0,25.0,12.0,38.0,guacui,ES,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,1.0,18.0,1/9/2020,1/13/2020,Standard Class,Consumer,United States,Texas,78041,Central,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,0.2,9.75
119.0,Female,32.0,New York,Gold,1170.3,14.0,4.7,True,29.0,Satisfied,536367,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 8:34,5.95,United Kingdom,5/17/2020 17:02,Home,284.0,3531.0,Credit Card,20.0,1.0,Curtis Smith,0.0,0.0,Computer,1.0,13.0,Debit Card,3.0,5.0,Laptop & Accessory,3.0,Single,2.0,1.0,24.0,1.0,1.0,6.0,160.74,6ae8d599fd407bfba5bce00a72c32544,349.9,379.2,22-07-2017 12:59,4.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,aracaju,SE,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,10.0,19.0,1/10/2020,1/15/2020,Standard Class,Corporate,United States,Virginia,22153,South,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,0.0,21.2954
120.0,Male,34.0,Los Angeles,Silver,790.2,11.0,4.0,False,16.0,Neutral,536367,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 8:34,7.95,United Kingdom,3/18/2022 13:52,Electronics,256.0,3548.0,Credit Card,20.0,0.0,Curtis Smith,0.0,19.0,Mobile Phone,1.0,20.0,Debit Card,3.0,3.0,Mobile Phone,4.0,Divorced,10.0,1.0,18.0,1.0,4.0,3.0,149.63,4389819b71f1f23563fa9eadadc12a06,349.9,373.17,4/4/2018 12:47,4.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,itu,SP,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,8.0,20.0,1/10/2020,1/15/2020,Standard Class,Corporate,United States,Virginia,22153,South,Office Supplies,Labels,Avery 482,2.89,0.0,1.3583
