Customer ID,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Gender,Churn,InvoiceNo,Description,UnitPrice,Country,Tenure,PreferredLoginDevice,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,payment,timestamp,rating,order_status,payment_installments,Ship Mode,Segment,City,State/Province,Postal Code,Product ID,Sub-Category,Product Name,Sales,Discount,Profit,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
44605.0,Home,177.0,1.0,2427.0,PayPal,31.0,1.0,John Rivera,Female,0.0,536365,WHITE HANGING HEART T-LIGHT HOLDER,2.55,United Kingdom,4.0,Mobile Phone,6.0,3.0,3.0,Laptop & Accessory,Single,9.0,1.0,11.0,1.0,1.0,5.0,159.93,1095.65,2017-11-21 22:34:00,5.0,delivered,5.0,Standard Class,Consumer,Houston,Texas,77095,OFF-PA-10000174,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,0.2,5.551199999999998,Gold,1120.2,14.0,4.6,True,25.0,Satisfied
44605.0,Electronics,396.0,3.0,937.0,Cash,31.0,0.0,John Rivera,Female,0.0,536365,KNITTED UNION FLAG HOT WATER BOTTLE,3.39,United Kingdom,0.0,Phone,15.0,2.0,4.0,Laptop & Accessory,Single,8.0,0.0,23.0,0.0,1.0,3.0,134.07,585.95,2018-01-06 22:22:00,4.0,delivered,1.0,Standard Class,Home Office,Naperville,Illinois,60540,OFF-ST-10002743,Storage,SAFCO Boltless Steel Shelving,272.736,0.2,-64.77480000000001,Gold,1480.3,19.0,4.7,False,12.0,Satisfied
13738.0,Home,191.0,3.0,3722.0,Credit Card,27.0,1.0,Lauren Johnson,Female,0.0,536365,SET 7 BABUSHKA NESTING BOXES,7.65,United Kingdom,0.0,Computer,22.0,3.0,5.0,Mobile Phone,Single,2.0,1.0,22.0,4.0,6.0,7.0,139.19,238.61,2018-04-08 21:57:00,5.0,delivered,8.0,Standard Class,Home Office,Henderson,Kentucky,42420,FUR-CH-10004063,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,0.0,746.4077999999997,Bronze,440.8,8.0,3.1,False,22.0,Neutral
33969.0,Home,304.0,1.0,3883.0,PayPal,27.0,1.0,Carol Allen,Male,0.0,536367,POPPY'S PLAYHOUSE KITCHEN,2.1,United Kingdom,11.0,Mobile Phone,6.0,3.0,4.0,Fashion,Single,10.0,1.0,13.0,0.0,1.0,0.0,153.81,1629.33,2017-07-18 14:26:00,5.0,delivered,1.0,Second Class,Consumer,Los Angeles,California,90049,OFF-PA-10002005,Paper,Xerox 225,19.44,0.0,9.3312,Bronze,470.5,7.0,3.2,False,20.0,Neutral
33969.0,Books,54.0,2.0,4187.0,PayPal,27.0,0.0,Carol Allen,Male,0.0,536367,FELTCRAFT PRINCESS CHARLOTTE DOLL,3.75,United Kingdom,0.0,Phone,11.0,2.0,3.0,Mobile,Single,2.0,1.0,13.0,2.0,2.0,2.0,134.41,428.8,2018-07-16 12:41:00,5.0,delivered,3.0,Standard Class,Home Office,Henderson,Kentucky,42420,TEC-PH-10004539,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,0.0,204.1092,Gold,1200.8,16.0,4.3,True,21.0,Satisfied
33969.0,Electronics,428.0,4.0,2289.0,Cash,27.0,0.0,Carol Allen,Male,0.0,536367,IVORY KNITTED MUG COSY ,1.65,United Kingdom,0.0,Phone,15.0,3.0,4.0,Mobile,Divorced,1.0,1.0,17.0,0.0,1.0,0.0,133.88,365.37,2017-01-08 07:31:00,5.0,delivered,1.0,Standard Class,Home Office,Henderson,Kentucky,42420,TEC-PH-10004977,Phones,GE 30524EE4,391.98,0.0,113.67419999999998,Silver,820.75,13.0,4.4,False,15.0,Satisfied
33969.0,Books,281.0,1.0,3810.0,Cash,27.0,0.0,Carol Allen,Male,0.0,536367,BOX OF 6 ASSORTED COLOUR TEASPOONS,4.25,United Kingdom,9.0,Mobile Phone,15.0,3.0,4.0,Fashion,Single,2.0,0.0,16.0,0.0,4.0,7.0,196.19,381.88,2018-02-22 17:06:00,4.0,delivered,6.0,Standard Class,Consumer,Huntsville,Texas,77340,FUR-FU-10004864,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.72800000000001,0.6,-53.70959999999999,Bronze,530.4,9.0,3.5,True,38.0,Unsatisfied
42650.0,Books,127.0,5.0,3347.0,Cash,20.0,0.0,Curtis Smith,Female,0.0,536367,HOME BUILDING BLOCK WORD,5.95,United Kingdom,0.0,Mobile Phone,11.0,2.0,4.0,Laptop & Accessory,Single,2.0,1.0,11.0,1.0,1.0,3.0,157.44,378.89,2017-08-06 17:50:00,5.0,delivered,1.0,Standard Class,Consumer,Laredo,Texas,78041,TEC-AC-10001266,Accessories,Memorex Micro Travel Drive 8 GB,31.200000000000003,0.2,9.749999999999996,Bronze,450.9,8.0,3.0,False,25.0,Neutral
42650.0,Home,284.0,2.0,3531.0,Credit Card,20.0,1.0,Curtis Smith,Female,0.0,536367,LOVE BUILDING BLOCK WORD,5.95,United Kingdom,0.0,Computer,13.0,3.0,5.0,Laptop & Accessory,Single,2.0,1.0,24.0,1.0,1.0,6.0,160.74,379.2,2017-07-22 12:59:00,4.0,delivered,10.0,Standard Class,Corporate,Springfield,Virginia,22153,FUR-FU-10000965,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,0.0,21.2954,Gold,1170.3,14.0,4.7,True,29.0,Satisfied
42650.0,Electronics,256.0,2.0,3548.0,Credit Card,20.0,0.0,Curtis Smith,Female,0.0,536367,RECIPE BOX WITH METAL HEART,7.95,United Kingdom,19.0,Mobile Phone,20.0,3.0,3.0,Mobile Phone,Divorced,10.0,1.0,18.0,1.0,4.0,3.0,149.63,373.17,2018-04-04 12:47:00,4.0,delivered,8.0,Standard Class,Corporate,Springfield,Virginia,22153,OFF-LA-10004272,Labels,Avery 482,2.89,0.0,1.3583,Silver,790.2,11.0,4.0,False,16.0,Neutral
